pc_time,pc_seconds,#,UV_level,air_rpm,ignition,flame_level,flame_threshold,flame_detection_stat
11/7/2022 15:11,1657545116,3134351,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134371,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134391,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134411,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134431,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134451,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134471,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134491,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134511,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134531,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134551,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134571,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134591,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134611,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134631,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134651,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134671,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134691,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134711,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134731,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134751,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134771,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134791,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134811,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134831,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134851,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134871,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134891,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134911,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134931,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134951,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134971,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3134991,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3135011,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3135031,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3135051,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3135071,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3135091,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3135111,0,0,0,0,100,0
11/7/2022 15:11,1657545116,3135131,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135151,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135171,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135191,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135211,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135231,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135251,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135271,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135291,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135311,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135331,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135351,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135371,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135391,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135411,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135431,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135451,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135471,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135491,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135511,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135531,0,0,0,0,100,0
